"data","vendas"
"2020-09-02","45"
"2020-09-03","20"
"2020-09-04","35"
"2020-09-05","40"
"2020-09-06","10"
"2020-09-07","25"
"2020-09-08","30"
"2020-09-09","15"
"2020-09-10","50"
"2020-09-11","45"
"2020-09-12","20"
"2020-09-13","35"
"2020-09-14","40"
"2020-09-15","25"
"2020-09-16","30"
"2020-09-17","10"
"2020-09-18","50"
"2020-09-19","20"
"2020-09-20","15"
"2020-09-21","35"
"2020-09-22","40"
"2020-09-23","25"
"2020-09-24","30"
"2020-09-25","50"
"2020-09-26","10"
"2020-09-27","20"
"2020-09-28","45"
"2020-09-29","40"
"2020-09-30","25"
"2020-10-01","30"
"2020-10-02","35"
"2020-10-03","10"
"2020-10-04","50"
"2020-10-05","15"
"2020-10-06","20"
"2020-10-07","45"
"2020-10-08","40"
"2020-10-09","25"
"2020-10-10","30"
"2020-10-11","35"
"2020-10-12","20"
"2020-10-13","50"
"2020-10-14","10"
"2020-10-15","45"
"2020-10-16","40"
"2020-10-17","25"
"2020-10-18","30"
"2020-10-19","15"
"2020-10-20","50"
"2020-10-21","35"
"2020-10-22","20"
"2020-10-23","45"
"2020-10-24","10"
"2020-10-25","40"
"2020-10-26","30"
"2020-10-27","25"
"2020-10-28","50"
"2020-10-29","20"
"2020-10-30","15"
"2020-10-31","40"
"2020-11-01","35"
"2020-11-02","10"
"2020-11-03","45"
"2020-11-04","50"
"2020-11-05","20"
"2020-11-06","15"
"2020-11-07","40"
"2020-11-08","30"
"2020-11-09","25"
"2020-11-10","10"
"2020-11-11","50"
"2020-11-12","35"
"2020-11-13","20"
"2020-11-14","40"
"2020-11-15","30"
"2020-11-16","10"
"2020-11-17","45"
"2020-11-18","50"
"2020-11-19","20"
"2020-11-20","15"
"2020-11-21","35"
"2020-11-22","40"
"2020-11-23","25"
"2020-11-24","30"
"2020-11-25","10"
"2020-11-26","50"
"2020-11-27","45"
"2020-11-28","20"
"2020-11-29","35"
"2020-11-30","40"
"2020-12-01","10"
"2020-12-02","25"
"2020-12-03","30"
"2020-12-04","50"
"2020-12-05","45"
"2020-12-06","20"
"2020-12-07","15"
"2020-12-08","35"
"2020-12-09","40"
"2020-12-10","10"
"2020-12-11","30"
"2020-12-12","25"
"2020-12-13","50"
"2020-12-14","45"
"2020-12-15","20"
"2020-12-16","35"
"2020-12-17","40"
"2020-12-18","10"
"2020-12-19","25"
"2020-12-20","30"
"2020-12-21","50"
"2020-12-22","15"
"2020-12-23","20"
"2020-12-24","40"
"2020-12-25","35"
"2020-12-26","10"
"2020-12-27","50"
"2020-12-28","20"
"2020-12-29","45"
"2020-12-30","30"
"2020-12-31","25"
